,label,user_count,user_percentage,factor_count,factor_percentage,income,income_percentage
0,About to sleep,4,0.17,4,0.11,321200,0.05
1,Potantial loyalist,1,0.04,2,0.06,67500,0.01
2,Promising,6,0.25,6,0.17,3089200,0.52
3,At risk,2,0.08,4,0.11,675000,0.11
4,Lost,3,0.12,3,0.09,193500,0.03
5,New Customer,2,0.08,2,0.06,168300,0.03
6,Hibernating,1,0.04,1,0.03,135000,0.02
7,Loyal,2,0.08,6,0.17,521800,0.09
8,Champions,3,0.12,7,0.2,757400,0.13
