,label,user_count,factor_count,income,user_percentage,factor_percentage,income_percentage
0,کل مشتریان,24,11.67,1976300.0,,,
1,Lost,6,8.0,1003500.0,0.25,0.23,0.17
2,New Customer,12,12.0,3578700.0,0.5,0.34,0.6
3,Champions,6,15.0,1346700.0,0.25,0.43,0.23
